time,down,up,down_speed,up_speed
20:56:35,0.0,0.0,0.0,0.0,
20:56:36,0.0,0.0,0.0,0.0,
20:56:37,0.0,0.0,0.0,0.0,
20:56:38,0.0,0.0,0.0,0.0,
20:56:39,0.0,0.0,0.0,0.0,
20:56:41,0.0,0.0,0.0,0.0,
20:56:42,0.0,0.0,0.0,0.0,
20:56:43,0.0,0.0,0.0,0.0,
20:56:44,0.0,0.0,0.0,0.0,
20:56:45,0.0,0.0,0.0,0.0,
20:56:47,0.0,0.0,0.0,0.0,
20:56:48,0.0,0.0,0.0,0.0,
20:56:49,0.0,0.0,0.0,0.0,
20:56:50,0.0,0.0,0.0,0.0,
20:56:51,0.0,0.0,0.0,0.0,
20:56:53,0.0,0.0,0.0,0.0,
20:56:54,0.0,0.0,0.0,0.0,
20:56:55,0.0,0.0,0.0,0.0,
